max_depth,max_features,min_samples_leaf,min_samples_split,random_state
5,0.481,18,6,1
32,0.157,14,11,1
14,0.428,5,3,1
45,0.46,1,3,1
3,0.83,10,4,1
11,0.433,16,16,1
38,0.147,1,14,1
43,0.147,1,5,1
24,0.125,1,5,1
21,0.632,9,8,1
30,0.538,10,9,1
27,0.321,1,5,1
39,0.713,1,6,1
32,0.183,14,6,1
10,0.368,8,19,1
47,0.71,1,2,1
39,0.1,3,4,1
49,0.239,2,6,1
37,0.859,2,3,1
26,1.0,1,4,1
4,0.142,1,6,1
49,0.035,1,7,1
12,1.0,2,3,1
22,0.092,1,2,1
18,0.712,2,16,1
20,0.108,12,2,1
42,0.415,2,5,1
30,0.174,3,3,1
45,0.261,19,16,1
12,0.359,1,6,1
47,0.53,3,2,1
39,0.78,1,5,1
16,0.673,11,11,1
50,0.622,1,2,1
14,0.901,2,5,1
14,0.74,1,6,1
7,0.93,5,12,1
50,0.206,2,6,1
22,0.61,3,5,1
40,0.657,18,7,1
13,0.859,1,7,1
29,0.144,1,7,1
1,0.825,1,5,1
2,0.511,15,14,1
39,0.602,1,6,1
11,0.77,2,4,1
20,0.734,3,7,1
13,0.41,1,4,1
3,0.236,3,13,1
31,0.906,2,4,1
46,0.311,2,6,1
42,0.89,2,5,1
25,0.068,2,2,1
13,0.535,2,2,1
22,0.573,3,2,1
45,0.883,14,5,1
7,0.375,3,6,1
17,0.033,11,13,1
4,0.658,8,13,1
12,0.368,1,6,1
